source destination migrants distance pops66 pops71 popd66 popd71 
 PEI  NFLD   255  924  108535  111641  493396  522104 
 NS   NFLD  2380  952  756039  788960  493396  522104 
 NB   NFLD  1140 1119  616788  534557  493396  522104 
 QUE  NFLD  2145 1641 5780845 6027764  493396  522104 
 ONT  NFLD  6295 1996 6960870 7703106  493396  522104 
 MAN  NFLD   215 3159  963066  988247  493396  522104 
 SASK NFLD   185 3542  955344  926242  493396  522104 
 ALTA NFLD   425 4059 1463203 1627874  493396  522104 
 BC   NFLD   425 4838 1873674 2184621  493396  522104 
 NFLD PEI    340  924  493396  522104  108535  111641 
 NS   PEI   1975  164  756039  788960  108535  111641 
 NB   PEI   1310  252  616788  534557  108535  111641 
 QUE  PEI    755  774 5780845 6027764  108535  111641 
 ONT  PEI   3060 1129 6960870 7703106  108535  111641 
 MAN  PEI    400 2293  963066  988247  108535  111641 
 SASK PEI     95 2675  955344  926242  108535  111641 
 ALTA PEI    185 3192 1463203 1627874  108535  111641 
 BC   PEI    330 3972 1873674 2184621  108535  111641 
 NFLD NS    3340  952  493396  522104  756039  788960 
 PEI  NS    2185  164  108535  111641  756039  788960  
 NB   NS    8310  310  616788  534557  756039  788960 
 QUE  NS    6090  832 5780845 6027764  756039  788960 
 ONT  NS   18805 1187 6960870 7703106  756039  788960 
 MAN  NS    1825 2351  963066  988247  756039  788960 
 SASK NS     840 2733  955344  926242  756039  788960 
 ALTA NS    2000 3250 1463203 1627874  756039  788960 
 BC   NS    2490 4029 1873674 2184621  756039  788960 
 NFLD NB    1740 1119  493396  522104  616788  534557 
 PEI  NB    1335  252  108535  111641  616788  534557 
 NS   NB    7635  310  756039  788960  616788  534557 
 QUE  NB    9315  522 5780845 6027764  616788  534557 
 ONT  NB   12455  877 6960870 7703106  616788  534557 
 MAN  NB    1405 2041  963066  988247  616788  534557 
 SASK NB     480 2423  955344  926242  616788  534557 
 ALTA NB    1130 2940 1463203 1627874  616788  534557 
 BC   NB    1195 3719 1873674 2184621  616788  534557 
 NFLD QUE   2235 1641  493396  522104 5780845 6027764 
 PEI  QUE    635  774  108535  111641 5780845 6027764 
 NS   QUE   4350  832  756039  788960 5780845 6027764 
 NB   QUE   7905  522  616788  534557 5780845 6027764  
 ONT  QUE  48370  355 6960870 7703106 5780845 6027764 
 MAN  QUE   4630 1519  963066  988247 5780845 6027764 
 SASK QUE   1515 1901  955344  926242 5780845 6027764 
 ALTA QUE   3305 2418 1463203 1627874 5780845 6027764 
 BC   QUE   4740 3197 1873674 2184621 5780845 6027764 
 NFLD ONT  17860 1996  493396  522104 6960870 7703106 
 PEI  ONT   3570 1129  108535  111641 6960870 7703106 
 NS   ONT  25730 1187  756039  788960 6960870 7703106 
 NB   ONT  18550  877  616788  534557 6960870 7703106 
 QUE  ONT  99430  355 5780845 6027764 6960870 7703106 
 MAN  ONT  23785 1380  963066  988247 6960870 7703106 
 SASK ONT  11805 1763  955344  926242 6960870 7703106 
 ALTA ONT  17655 2281 1463203 1627874 6960870 7703106 
 BC   ONT  21205 3059 1873674 2184621 6960870 7703106 
 NFLD MAN    680 3159  493396  522104  963066  988247 
 PEI  MAN    265 2293  108535  111641  963066  988247 
 NS   MAN   1655 2351  756039  788960  963066  988247 
 NB   MAN   1355 2041  616788  534557  963066  988247 
 QUE  MAN   4330 1519 5780845 6027764  963066  988247 
 ONT  MAN  18245 1380 6960870 7703106  963066  988247 
 SASK MAN  16365  382  955344  926242  963066  988247 
 ALTA MAN   7190  899 1463203 1627874  963066  988247 
 BC   MAN   6310 1679 1873674 2184621  963066  988247 
 NFLD SASK   280 3542  493396  522104  955344  926242 
 PEI  SASK   125 2675  108535  111641  955344  926242 
 NS   SASK   620 2733  756039  788960  955344  926242 
 NB   SASK   495 2423  616788  534557  955344  926242 
 QUE  SASK  1570 1901 5780845 6027764  955344  926242 
 ONT  SASK  6845 1763 6960870 7703106  955344  926242 
 MAN  SASK  9425  382  963066  988247  955344  926242  
 ALTA SASK 10580  517 1463203 1627874  955344  926242 
 BC   SASK  6090 1297 1873674 2184621  955344  926242 
 NFLD ALTA   805 4059  493396  522104 1463203 1627874 
 PEI  ALTA   505 3192  108535  111641 1463203 1627874 
 NS   ALTA  3300 3250  756039  788960 1463203 1627874 
 NB   ALTA  2150 2940  616788  534557 1463203 1627874 
 QUE  ALTA  7750 2418 5780845 6027764 1463203 1627874 
 ONT  ALTA 23550 2281 6960870 7703106 1463203 1627874 
 MAN  ALTA 17410  899  963066  988247 1463203 1627874 
 SASK ALTA 41910  517  955344  926242 1463203 1627874  
 BC   ALTA 27765  987 1873674 2184621 1463203 1627874 
 NFLD BC    1455 4838  493396  522104 1873674 2184621 
 PEI  BC     600 3972  108535  111641 1873674 2184621 
 NS   BC    6075 4029  756039  788960 1873674 2184621 
 NB   BC    3115 3719  616788  534557 1873674 2184621 
 QUE  BC   16740 3197 5780845 6027764 1873674 2184621 
 ONT  BC   47395 3059 6960870 7703106 1873674 2184621 
 MAN  BC   26910 1679  963066  988247 1873674 2184621 
 SASK BC   29920 1297  955344  926242 1873674 2184621 
 ALTA BC   58915  987 1463203 1627874 1873674 2184621 


